test;wtime;kernel_time;kernel_memory_transfer_time
as20000102.txt;2.046877908;1174.1;1257.94
ca-AstroPh.txt;7.333546846;5050.94;5311.55
ca-CondMat.txt;8.312464597;5999.12;6302.32
ca-GrQc.txt;2.315556113;1270.34;1340.04
ca-HepPh.txt;4.476688239;2850.85;3007.48
ca-HepTh.txt;4.326631830;2882.02;3016.87
com-amazon-ungraph.txt;510.677797498;492539;498729
com-dblp-ungraph.txt;273.800372080;257199;262848
email-Enron.txt;11.772282387;8554.19;9042.09
facebook_combined.txt;1.753963416;803.648;857.046
gen1.txt;.647062741;0.095168;0.127904
gen2.txt;.664011880;0.157728;0.199488
gen3.txt;.682413066;0.207744;0.262272
gen4.txt;.491287445;0.217088;0.268576
gen5.txt;.613836195;0.403456;0.476672
gen6.txt;.494518308;0.294912;0.364224
gen7.txt;.545137100;7.39507;7.85421
gen8.txt;.465244458;0.368672;0.442368
graph-random-001.txt;8.518912012;708.032;828.589
graph-random-002.txt;5.979175334;1264.57;1406.66
loc-gowalla.txt;114.600796693;104073;106876
