test;wtime;kernel_time;kernel_memory_transfer_time
as20000102.txt;2.079922278;1191.3;1279.57
ca-AstroPh.txt;6.924264953;5011.16;5276.79
ca-CondMat.txt;7.834160329;6005.39;6312.15
ca-GrQc.txt;2.097133810;1267.35;1336.08
ca-HepPh.txt;4.152433548;2846.82;3007.82
ca-HepTh.txt;4.177598970;2832.97;2963.65
com-amazon-ungraph.txt;506.231718162;488367;494504
com-dblp-ungraph.txt;273.741458691;257278;262895
email-Enron.txt;10.629607761;8447.51;8920.85
facebook_combined.txt;1.530847922;796.865;849.342
gen1.txt;.488591023;0.09216;0.122752
gen2.txt;.437588739;0.153536;0.193568
gen3.txt;.488848932;0.224256;0.277504
gen4.txt;.562569420;0.223232;0.27632
gen5.txt;.474073303;0.37984;0.450752
gen6.txt;.484290000;0.32752;0.398912
gen7.txt;.474321916;7.48003;7.94275
gen8.txt;.448724606;0.366592;0.444512
graph-random-001.txt;8.717619180;957.979;1085.49
graph-random-002.txt;5.838996125;1385.77;1540.4
loc-gowalla.txt;114.947811636;104701;107518
